,year,count
0,1959,181
1,1896,6
2,1990,433
3,1903,9
4,1884,6
5,1975,357
6,1977,412
7,1888,7
8,1924,83
9,2003,936
10,2007,978
11,1892,6
12,2018,905
13,1974,345
14,2015,1003
15,1889,6
16,1927,79
17,1875,1
18,1877,2
19,1955,150
20,1873,1
21,1890,6
22,2006,838
23,1978,336
24,1908,26
25,1925,80
26,1886,7
27,1961,208
28,2013,965
29,1942,56
30,1939,85
31,1944,30
32,1899,6
33,1902,8
34,1878,2
35,1922,67
36,1952,116
37,1934,106
38,1956,193
39,1988,545
40,1997,863
41,1994,570
42,1968,299
43,1917,24
44,2014,860
45,1951,97
46,1930,98
47,1938,133
48,1874,1
49,1973,426
50,1979,398
51,1904,8
52,1946,92
53,1947,139
54,1894,6
55,1901,6
56,2019,1155
57,1971,373
58,1950,133
59,1913,35
60,1949,150
61,1966,313
62,2004,1064
63,1991,473
64,1967,333
65,1969,346
66,1982,376
67,1881,3
68,1932,90
69,1945,64
70,1957,221
71,1943,35
72,1989,590
73,1996,830
74,1914,31
75,1998,698
76,1963,266
77,1887,6
78,1872,1
79,1910,26
80,1876,2
81,1965,318
82,1905,12
83,1985,571
84,2020,61
85,1898,6
86,1960,211
87,1926,85
88,1921,54
89,1970,316
90,2012,1012
91,1918,17
92,1893,5
93,1916,29
94,1987,358
95,1923,90
96,1941,52
97,1897,6
98,1907,13
99,1912,35
100,2009,897
101,1911,33
102,1936,83
103,2016,926
104,1920,35
105,1995,641
106,1931,97
107,1937,119
108,1919,33
109,1895,6
110,1906,14
111,1915,16
112,1909,19
113,1883,5
114,1980,492
115,1953,175
116,1880,3
117,2001,1018
118,1972,408
119,1958,165
120,1992,581
121,1983,452
122,1954,149
123,2005,804
124,1935,102
125,1984,536
126,1964,186
127,2000,1026
128,1885,7
129,1981,466
130,2010,854
131,1986,390
132,1879,3
133,2011,1081
134,1976,392
135,1940,56
136,2008,1091
137,2017,958
138,1891,6
139,1948,124
140,1999,739
141,1962,228
142,2002,760
143,1900,6
144,1929,82
145,1928,74
146,1933,93
147,1882,5
148,1993,733
